name of company,college name,region,year,Salary
TECH MAHINDRA,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,29854
TECH MAHINDRA,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,29854
TECH MAHINDRA,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,29854
TECH MAHINDRA,COLLEGE OF ENGINEERING PUNE,PUNE,2018,29854
TECH MAHINDRA,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,29854
TECH MAHINDRA,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,29854
TECH MAHINDRA,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,29854
TECH MAHINDRA,MIT COLLEGE OF ENGINEERING,PUNE,2018,29854
TECH MAHINDRA,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,29854
TECH MAHINDRA,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,29854
TECH MAHINDRA,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,29854
TECH MAHINDRA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,29854
TECH MAHINDRA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,29854
TECH MAHINDRA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,485992
MAJESCO,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,485992
MAJESCO,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,485992
MAJESCO,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,485992
MAJESCO,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,485992
MAJESCO,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,432807
NEWGEN SOFTWARE,COLLEGE OF ENGINEERING PUNE,PUNE,2018,432807
NEWGEN SOFTWARE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,708060
GE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,708060
GE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,708060
GE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,708060
GE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017,526728
JIO,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,734589
GEP,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,734589
GEP,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,734589
GEP,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,734589
GEP,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,734589
GEP,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,734589
GEP,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,753646
ORACLE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,753646
ORACLE,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,753646
ORACLE,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,753646
ORACLE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,753646
ORACLE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,753646
ORACLE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,485375
LARSEN & TOUBRO,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,1764982
MORGAN STANLEY,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,1764982
MORGAN STANLEY,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,1764982
MORGAN STANLEY,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,1764982
MORGAN STANLEY,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,1764982
MORGAN STANLEY,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,1764982
MORGAN STANLEY,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,1764982
MORGAN STANLEY,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,1764982
MORGAN STANLEY,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,1764982
MORGAN STANLEY,COLLEGE OF ENGINEERING PUNE,PUNE,2018,1764982
MORGAN STANLEY,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,1764982
MORGAN STANLEY,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,1764982
MORGAN STANLEY,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,515321
INGRAM MICRO,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,363745
TCS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,363745
TCS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,363745
TCS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,363745
TCS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,363745
TCS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,363745
TCS,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,363745
TCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,363745
TCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,363745
TCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,363745
TCS,COLLEGE OF ENGINEERING PUNE,PUNE,2018,363745
TCS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,363745
TCS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,363745
TCS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,363745
TCS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,363745
TCS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,363745
TCS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,41812
ZYCUS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,41812
ZYCUS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,41812
ZYCUS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,41812
ZYCUS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,41812
